"created","text","url","latitude","longitude","retweets","favorites","source.r","hashtag","z"
2018-02-18 23:59:28,"#BlackPanther is a uniquely thoughtful superhero film, rich with themes and ideas. The world would be a better plac<e2><80><a6> https://t.co/wnLNhjSDZA","https://twitter.com/VincenzoCheung/status/965375244713242624",NA,NA,0,1,"ANDROID","#blackpanther",1
2018-02-18 23:59:28,"I really don't know what all this hype is about - #BlackPanther is yet another weak #Marvel movie - coulda been much much better.","https://twitter.com/Francis___15/status/965375244297936897",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:59:27,"So I think I Re-fell in love with Michael B Jordan <ed><a0><bd><ed><b8><8d> just watched him in #BlackPanther looking like every dream sna<e2><80><a6> https://t.co/c9iZWbqDXD","https://twitter.com/_Dominiquebaker/status/965375240992968705",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:59:27,"KILMONGER IS MY HERO!!! Ok, I'm done...#BlackPanther","https://twitter.com/TruthFightah/status/965375239692701696",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:59:23,"Yeah we got this...
#BlackPanther posts fifth-biggest box office debut ever https://t.co/7kL1hidmfI","https://twitter.com/Mrs_Cldh/status/965375223720763392",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:59:23,"I<e2><80><99>m going to go see #BlackPanther tomorrow, whay should I wear","https://twitter.com/jxymxn/status/965375223569813504",NA,NA,0,1,"IPHONE","#blackpanther",1
2018-02-18 23:59:23,"Post #BlackPanther mood https://t.co/HPyE2BTOFe","https://twitter.com/sagalll_/status/965375223498526720",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:59:23,"Good evening, church. I trust we are all still high in spirit from journeying to visit our kinfolk in Wakanda. Amen<e2><80><a6> https://t.co/jHmba2Qtgm","https://twitter.com/naima/status/965375222017863680",NA,NA,88,490,"IPHONE","#blackpanther",1
2018-02-18 23:59:23,"The receipts are in!! 5th largest of all time!!! #blackpanther #blackpantherboxoffice https://t.co/qJOpyd9MZ4","https://twitter.com/PapiSeedBagel/status/965375221782937605",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:59:23,"That movie was so good #blackpanther @sye_nicholas @Countrygirl7800","https://twitter.com/IdolZaperry/status/965375220809961473",NA,NA,0,1,"IPHONE","#blackpanther",1
2018-02-18 23:59:22,"#BlackPanther , also date night with my girl!! https://t.co/PyfFKhKAkY","https://twitter.com/T_Elsler47/status/965375216347156481",NA,NA,0,3,"IPHONE","#blackpanther",1
2018-02-18 23:59:21,"@LordRetail Know what? The movie in and of itself is just too good for that. You're right, and I think the quality<e2><80><a6> https://t.co/RMHOYkHtfS","https://twitter.com/Rhiscfactor/status/965375214132629504",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:59:21,"Killmonger grew up in the hood, in America. T'Challa grew up as royalty, he didn't experience most things his cousi<e2><80><a6> https://t.co/wzWzVevMVR","https://twitter.com/afrocybergirl/status/965375212912029698",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:59:20,"We're ready!!! <e2><9c><8a><ed><a0><bc><ed><bf><be><e2><9c><8a><ed><a0><bc><ed><bf><be><ed><a0><be><ed><b4><98><ed><a0><bc><ed><bf><bd><ed><a0><be><ed><b4><98><ed><a0><bc><ed><bf><bd> #KingTChalla #BlackPanther #WakandaForever #MovieNight <ed><a0><bc><ed><bd><bf> https://t.co/tL2XqM1sSg","https://twitter.com/RobHodge/status/965375211775414272",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:59:20,"Rewatching Cap Civil War to hype up for #BlackPanther. #MCU https://t.co/ztiK5izaBz","https://twitter.com/penguintruth/status/965375208801619969",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:59:19,"#ItsMyBirthday and I<e2><80><99>m getting to see #BlackPanther after a 60 degree and sunny February day so I<e2><80><99>m *GOOD* y<e2><80><99>all <ed><a0><bd><ed><b8><8e><ed><a0><bd><ed><b9><8c><e2><80><a6> https://t.co/b1GZzjEo2K","https://twitter.com/HNSeal2/status/965375207002333185",NA,NA,0,2,"IPHONE","#blackpanther",1
2018-02-18 23:59:18,"Black Girl Stunt Magic. #BlackPanther #WakandaForever https://t.co/twnUQhNMCj","https://twitter.com/antoniajenae/status/965375203265179648",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:59:18,"I was told my face lights up every time someone mentions #BlackPanther

And that i have to physically stop myself from squeeing. <ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82><ed><a0><bd><ed><b8><82>","https://twitter.com/elleRK17/status/965375202816229376",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:59:18,"""Wakanda is the first cinematic destination in the Marvel universe where I actually felt I could live in all of my<e2><80><a6> https://t.co/WJw2nL8TqX","https://twitter.com/kaludiasays/status/965375199553220610",NA,NA,8,40,"WEB","#blackpanther",1
2018-02-18 23:59:17,"Black panther was to <ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5> #BlackHistoryMonth  #BlackPanther","https://twitter.com/IcePrvple/status/965375198689099776",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:59:17,"I can't figure out my favorite character/scene from #BlackPanther so gotta see it again...for science. https://t.co/I1hHX4R3mL","https://twitter.com/75to17/status/965375197145546752",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:59:14,"#BlackPanther time, AGAIN!

Fyi. Im tweeting about this shit heavy once I leave this time.","https://twitter.com/MekaLolita/status/965375186248912901",NA,NA,0,1,"IPHONE","#blackpanther",1
2018-02-18 23:59:12,"<e2><80><9c>Bury me in the ocean like my ancestors. They knew death was better than bondage.<e2><80><9d> This line hit me right in my SOU<e2><80><a6> https://t.co/snZq0dGPkG","https://twitter.com/LadyMockingjay/status/965375176400625665",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:59:12,"@Sweetp10000 You saw the movie Marshall right? Do u think Chadwick Boseman was better in that one or #BlackPanther ?","https://twitter.com/Princess_Lyon17/status/965375175540822016",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:59:09,"I was in awe seeing #BlackPanther watchin my sons excitement( It<e2><80><99>s crazy how much he actually already knew being in<e2><80><a6> https://t.co/3gH8RkrX8L","https://twitter.com/blkuniiicorn/status/965375162207145984",NA,NA,0,1,"IPHONE","#blackpanther",1
2018-02-18 23:59:08,"For real!! I LOVE THIS!! #wakandaforever #blackpanther #represent! https://t.co/CyJUfYA8TA","https://twitter.com/FeliMurray/status/965375161493987329",NA,NA,1,2,"IPHONE","#blackpanther",1
2018-02-18 23:59:07,"@theblackpanther  movie is a #phenomenon.  There will never be another #marvelmovielike this one.  Drop the mic.  #blackpanther","https://twitter.com/nettabell12/status/965375155248816130",NA,NA,0,0,"ANDROID","#blackpanther",1
